level,code,exerciseName,words,noiseLevel,noiseUrl
1,family,Семья,(сын ребёнок мама),0,
2,family,Семья,(отец брат дедушка),0,
3,family,Семья,(бабушка муж внучка),0,
4,family,Семья,(сын ребёнок родители дочь мама папа),0,
5,family,Семья,(отец мать сестра брат дядя дедушка),0,
6,family,Семья,(бабушка муж жена внучка внук внуки),0,
7,family,Семья,(семья тётя дядя племянник племянница родня),0,
8,family,Семья,(фамилия имя отчество родственники друг подружка),0,
9,family,Семья,(свадьба свёкр свекровь невеста жених тёща),0,
10,family,Семья,(тесть брак малыш дети парень девушка),0,
11,family,Семья,(отчим мачеха крёстный крестная прабабушка прадедушка),0,
12,family,Семья,(дружить любить жениться родился встречаться приглашать),0,
13,family,Семья,(крестник правнучка наследник подросток супруг супруга родственник золовка наследство),0,
14,family,Семья,(крестница правнук сирота юноша опекун супруги новорожденный зять наследник),0,
15,family,Семья /+голоса/,(сын ребёнок мама),0,voices
16,family,Семья /+голоса/,(отец брат дедушка),0,voices
17,family,Семья /+голоса/,(бабушка муж внучка),0,voices
18,family,Семья /+голоса/,(сын ребёнок родители дочь мама папа),50,voices
19,family,Семья /+голоса/,(отец мать сестра брат дядя дедушка),50,voices
20,family,Семья /+голоса/,(бабушка муж жена внучка внук внуки),50,voices
21,family,Семья /+голоса/,(семья тётя дядя племянник племянница родня),50,voices
22,family,Семья /+голоса/,(фамилия имя отчество родственники друг подружка),50,voices
23,family,Семья /+голоса/,(свадьба свёкр свекровь невеста жених тёща),50,voices
24,family,Семья /+голоса/,(тесть брак малыш дети парень девушка),50,voices
25,family,Семья /+голоса/,(отчим мачеха крёстный крестная прабабушка прадедушка),50,voices
26,family,Семья /+голоса/,(дружить любить жениться родился встречаться приглашать),50,voices
27,family,Семья /+голоса/,(крестник правнучка наследник подросток супруг супруга родственник золовка наследство),50,voices
28,family,Семья /+голоса/,(крестница правнук сирота юноша опекун супруги новорожденный зять наследник),50,voices
1,home,Любимый дом,(дом окно лестница),0,
2,home,Любимый дом,(диван картина стул),0,
3,home,Любимый дом,(подушка шкаф часы),0,
4,home,Любимый дом,(дом окно лестница замок дверь ключ),0,
5,home,Любимый дом,(диван картина стул стол штора кровать),0,
6,home,Любимый дом,(подушка шкаф часы комод зеркало полочка),0,
7,home,Любимый дом,(ванна спальня душ туалет коридор кухня),0,
8,home,Любимый дом,(лифт плита пылесос шкафчик комната унитаз),0,
9,home,Любимый дом,(гостиная зал балкон телевизор стенка кресло),0,
10,home,Любимый дом,(пол подвал раковина розетка телефон ящик),0,
11,home,Любимый дом,(утюг подоконник обои полотенце розетка сад),0,
12,home,Любимый дом,(закипает работает звонит включить выключить льётся),0,
13,home,Любимый дом,(лоджия домофон подушка радиатор пыль веранда мангал качели простыня),0,
14,home,Любимый дом,(радио компьютер дымоход плита жалюзи пододеяльник матрац кран плед),0,
15,home,Любимый дом /+малый шум/,(дом окно лестница),6,
16,home,Любимый дом /+малый шум/,(диван картина стул),6,
17,home,Любимый дом /+малый шум/,(подушка шкаф часы),6,
18,home,Любимый дом /+малый шум/,(дом окно лестница замок дверь ключ),6,
19,home,Любимый дом /+малый шум/,(диван картина стул стол штора кровать),6,
20,home,Любимый дом /+малый шум/,(подушка шкаф часы комод зеркало полочка),6,
21,home,Любимый дом /+малый шум/,(ванна спальня душ туалет коридор кухня),6,
22,home,Любимый дом /+малый шум/,(лифт плита пылесос шкафчик комната унитаз),6,
23,home,Любимый дом /+малый шум/,(гостиная зал балкон телевизор стенка кресло),6,
24,home,Любимый дом /+малый шум/,(пол подвал раковина розетка телефон ящик),6,
25,home,Любимый дом /+малый шум/,(утюг подоконник обои полотенце розетка сад),6,
26,home,Любимый дом /+малый шум/,(закипает работает звонит включить выключить льётся),6,
27,home,Любимый дом /+малый шум/,(лоджия домофон подушка радиатор пыль веранда мангал качели простыня),6,
28,home,Любимый дом /+малый шум/,(радио компьютер дымоход плита жалюзи пододеяльник матрац кран плед),6,
29,home,Любимый дом /+средний шум/,(дом окно лестница),20,
30,home,Любимый дом /+средний шум/,(диван картина стул),20,
31,home,Любимый дом /+средний шум/,(подушка шкаф часы),20,
32,home,Любимый дом /+средний шум/,(дом окно лестница замок дверь ключ),20,
33,home,Любимый дом /+средний шум/,(диван картина стул стол штора кровать),20,
34,home,Любимый дом /+средний шум/,(подушка шкаф часы комод зеркало полочка),20,
35,home,Любимый дом /+средний шум/,(ванна спальня душ туалет коридор кухня),20,
36,home,Любимый дом /+средний шум/,(лифт плита пылесос шкафчик комната унитаз),20,
37,home,Любимый дом /+средний шум/,(гостиная зал балкон телевизор стенка кресло),20,
38,home,Любимый дом /+средний шум/,(пол подвал раковина розетка телефон ящик),20,
39,home,Любимый дом /+средний шум/,(утюг подоконник обои полотенце розетка сад),20,
40,home,Любимый дом /+средний шум/,(закипает работает звонит включить выключить льётся),20,
41,home,Любимый дом /+средний шум/,(лоджия домофон подушка радиатор пыль веранда мангал качели простыня),20,
42,home,Любимый дом /+средний шум/,(радио компьютер дымоход плита жалюзи пододеяльник матрац кран плед),20,
43,home,Любимый дом /+тяжелый шум/,(дом окно лестница),40,
44,home,Любимый дом /+тяжелый шум/,(диван картина стул),40,
45,home,Любимый дом /+тяжелый шум/,(подушка шкаф часы),40,
