seriesType, level, code, name, description
SINGLE_SIMPLE_WORDS,1,family,Семья,Слова про семью
SINGLE_SIMPLE_WORDS,2,home,Любимый дом,Слова про дом
SINGLE_SIMPLE_WORDS,3,food,Что я ем,Слова о еде
SINGLE_SIMPLE_WORDS,4,clothes,Одежда,Слова об одежде
SINGLE_SIMPLE_WORDS,5,school,В школе,Слова о школе и учебе
SINGLE_SIMPLE_WORDS,6,math,Математика,Математика и ее термины
SINGLE_SIMPLE_WORDS,7,pets,Домашние питомцы,Слова о домашних питомцах
SINGLE_SIMPLE_WORDS,8,animals,Мир животных,Слова о животных
SINGLE_SIMPLE_WORDS,9,transport,Транспорт,Слова о транспорте
SINGLE_SIMPLE_WORDS,10,colors,Цвета и форма,Слова о понятиях цета и формы
SINGLE_SIMPLE_WORDS,11,city,В городе,Слова о жизни города
SINGLE_SIMPLE_WORDS,12,country,В деревне,Слова из деревенской жизни
SINGLE_SIMPLE_WORDS,13,walk,На прогулке,Слова о прогулке
SINGLE_SIMPLE_WORDS,14,weather,Погода,Слова о погоде
SINGLE_SIMPLE_WORDS,15,future,Стану кем хочу,Слова о профессии
SINGLE_SIMPLE_WORDS,16,body,Тело человека,Слова об организме
SINGLE_SIMPLE_WORDS,17,game,Развлечения,Слова из нашей жизни развлеченийи и игр
SINGLE_SIMPLE_WORDS,18,adventure,Путешествия,Слова из мира путешествий
SINGLE_SIMPLE_WORDS,19,hospital,В больнице,Слова медицинские
SINGLE_SIMPLE_WORDS,20,feelings,Что я чувствую,Слова о чувствах и эмоциях
SINGLE_SIMPLE_WORDS,21,toys,Игрушки,Игрушки
SINGLE_SIMPLE_WORDS,22,insects,Насекомые,Насекомые
SINGLE_SIMPLE_WORDS,23,interior,Интерьер,Интерьер
SINGLE_SIMPLE_WORDS,24,kitchen,На кухне,На кухне
SINGLE_SIMPLE_WORDS,25,music,Музыка,Музыка
SINGLE_SIMPLE_WORDS,26,musical_instruments,Музыкальные инструменты,Музыкальные инструменты
SINGLE_SIMPLE_WORDS,27,birds,Птицы,Птицы
SINGLE_SIMPLE_WORDS,28,jewelry,Украшения,Украшения
SINGLE_SIMPLE_WORDS,29,history,История,История
SINGLE_SIMPLE_WORDS,30,actions,Действия,Действия
SINGLE_SIMPLE_WORDS,31,audible_actions,Действия(слышимые),Действия(слышимые)
SINGLE_SIMPLE_WORDS,32,more_transport,Транспорт Дополнение,Транспорт Дополнение
SINGLE_SIMPLE_WORDS,33,special_transport,Транспорт (спецтехника),Транспорт (спецтехника)
SINGLE_SIMPLE_WORDS,34,fruit_trees,Плодовые деревья и кусты,Плодовые деревья и кусты
SINGLE_SIMPLE_WORDS,35,plants,Растения,Растения
SINGLE_SIMPLE_WORDS,36,trees,Деревья и кустарники,Деревья и кустарники
SINGLE_SIMPLE_WORDS,37,sport,Спорт,Спорт
SINGLE_SIMPLE_WORDS,38,shop,В магазине,В магазине
SINGLE_SIMPLE_WORDS,39,artiodactyls,Парнокопытные,Парнокопытные
SINGLE_SIMPLE_WORDS,40,dogs,Породы собак,Породы собак
SINGLE_SIMPLE_WORDS,41,stationery,Канцелярские принадлежности,Канцелярские принадлежности
SINGLE_SIMPLE_WORDS,42,flowers,Цветы,Цветы
SINGLE_SIMPLE_WORDS,43,literature,Русский язык и литература,Русский язык и литература
SINGLE_SIMPLE_WORDS,44,physics,Физика,Физика
SINGLE_SIMPLE_WORDS,45,biology,Биология,Биология
SINGLE_SIMPLE_WORDS,46,instruments,Инструменты,Инструменты
WORDS_SEQUENCES,1,words_2_from_6,По 2 слова из 6, Матрица слов 2 столбца на 3 строки
WORDS_SEQUENCES,2,words_3_from_6,По 3 слова из 6, Матрица слов 2 столбца на 3 строки
WORDS_SEQUENCES,3,words_3_from_9,По 3 слова из 9, Матрица слов 3 столбца на 3 строки
WORDS_SEQUENCES,4,words_3_from_12,По 3 слова из 12, Матрица слов 3 столбца на 4 строки
WORDS_SEQUENCES,5,words_4_from_12,По 4 слова из 12, Матрица слов 4 столбца на 3 строки
WORDS_SEQUENCES,6,words_4_from_16,По 4 слова из 16, Матрица слов 4 столбца на 4 строки
WORDS_SEQUENCES,7,words_5_from_15,По 5 слов из 15, Матрица слов 5 столбцов на 3 строки
WORDS_SEQUENCES,8,words_6_from_18,По 6 слов из 18, Матрица слов 6 столбцов на 3 строки
SENTENCE,1,sentence_with_2_words,Из 2 слов, Пойми предложение из 2 слов
SENTENCE,2,sentence_with_3_words,Из 3 слов, Пойми предложение из 3 слов
SENTENCE,3,sentence_with_4_words,Из 4 слов, Пойми предложение из 4 слов
SENTENCE,4,sentence_with_5_words,Из 5 слов, Пойми предложение из 5 слов
SENTENCE,5,sentence_with_6_words,Из 6 слов, Пойми предложение из 6 слов
PHRASES,1,longShortPhrases,Фразы разной длительности,
PHRASES,2,noPhrases,Фразы с частицей Не,
PHRASES,3,similarPhrases,Похожие фразы,
PHRASES,4,differentEndPhrases,Фразы с разным окончанием,
PHRASES,5,shortWords,Короткие слова,
PHRASES,6,prepositionPhrases,Предлоги,
DURATION_SIGNALS,1,durationSignals,Длительность сигналов,
FREQUENCY_SIGNALS,1,frequencySignals,Частота сигналов,
FREQUENCY_WORDS,1,low_frequency,Низкочастотные слова,Низкочастотные слова
FREQUENCY_WORDS,2,medium_frequency,Среднечастотные слова,Среднечастотные слова
FREQUENCY_WORDS,3,high_frequency,Высокочастотные слова,Высокочастотные слова
